p1,p2,p3,p4,Recall1,Recall2,r1,r2,r3,r4,r5,r6,rl1,rl2,rl3,rl4,rl5,rl6,d1,d2,d3,d4,d5,d6,t1,t2,t3,t4,t5,t6,a11,a12,a13,a14,a15,a16,a17,a18,a19,a21,a22,a23,a24,a25,a26,a27,a28,a29,bp1,bp2,bp3,bp4,bp5,bp6,u1,u2,u3,u4,u5,u6,e11,e12,e13,e14,e10,e21,e22,e23,e24,e20,e31,e32,e33,e34,e30,e41,e42,e43,e44,e40,e51,e52,e53,e54,e50,e61,e62,e63,e64,e60,M1,M2,M3,M4,M5,SM0,SM1,SM2,SM3,SM4,SM5,SM6,attend,sth,Gender,zip,yob,Income,married,kids,residence,retake,Sex,single_married,homeowner,children,Social_Channels,Passion,OcshnerBE,FAC1_1,FAC2_1,FAC3_1,age,HHIncome,neighborhood_income,neighborhood_age,neighborhood_edu,neighborhood_pop
80,60,98,50,0,0,50,50,50,90,50,50,0,0,0,0,0,0,50,0,0,80,0,0,50,50,50,90,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,75,50,50,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,10,14,10,0,0,0,0,0,0,1,0,0,0,1,32952,1959,0,3,0,1,1,1,0,1,0,1,72,67,0.37186376081418865,0.11500167412006455,-0.7556393781933199,64,4,87148,50.5,4066,20666
100,65,50,100,1,1,50,49,50,50,50,50,1,1,2,2,2,1,1,1,2,100,2,1,2,2,1,81,51,52,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,54,51,51,100,51,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,4,17,9,6,0,1,0,1,0,0,0,0,0,2,32504,1982,0,1,1,1,2,2,1,1,1,2,78.75,66.6,0.3082887668085881,0.19342786598406583,-0.7250573969232612,41,4,69017,39.3,3397,21710
85,91,100,70,1,0,52,52,52,100,81,81,10,10,10,99,82,81,51,51,51,100,80,80,50,50,50,99,86,86,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,51,44,99,91,92,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,17,9,9,17,17,0,1,0,0,0,0,0,0,0,2,70123,1956,0,5,999,1,2,2,0,1,0,1,86.5,99.4,0.6822862247418644,1.4386031425281154,0.8397612611778836,67,4,78415,42.3,5440,27633
100,100,100,100,1,1,100,50,24,100,60,51,81,51,2,79,35,5,100,100,3,100,100,2,90,79,1,94,93,20,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,100,66,3,100,77,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,4,17,17,17,0,1,1,1,0,0,0,0,0,1,17368,1992,0,1,2,2,4,1,1,0,2,3,100,94.6,1.023134425357169,-1.6355411004748015,1.6209131522577345,31,4,82674,43.4,585,6453
80,71,81,73,1,1,0,0,0,79,18,19,0,0,0,50,0,0,0,0,0,54,1,0,0,0,0,78,0,30,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,81,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,17,0,17,17,17,0,0,0,1,0,0,0,0,0,2,70448,1940,0,2,0,1,1,2,0,1,0,1,76.25,68.4,0.5297133270423224,-0.6738324952734204,-1.2424879548748429,83,4,90475,38.9,4912,26364
100,100,100,100,1,1,14,11,13,100,100,100,14,11,12,100,100,100,4,6,6,100,100,100,6,5,5,100,100,100,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,3,5,100,100,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,13,17,17,17,17,0,1,0,0,0,1,0,0,0,1,52632,1959,0,1,999,1,1,1,1,1,0,2,100,100,0.531659233158401,1.939259022498482,1.2580036841169735,64,4,49639,41.1,1053,12087
100,100,100,97,1,1,59,7,7,99,100,100,59,12,9,100,100,99,39,6,4,90,70,48,55,12,10,100,73,73,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,65,64,64,98,70,71,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,14,3,17,17,17,0,1,0,0,0,0,0,6,1,1,71301,1946,0,2,0,1,1,1,0,1,0,1,99.25,97.4,0.6684796637759008,1.0867860927946509,0.9716560474791772,77,4,42314,38.3,1721,19165
88,85,50,80,1,0,84,50,86,54,60,56,7,1,7,0,0,0,88,12,91,8,10,2,75,76,75,50,50,50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,86,67,87,52,51,51,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,7,0,10,15,0,1,0,0,0,1,0,0,0,1,37916,2002,0,5,1,2,1,1,0,0,1,2,75.75,32.8,-0.9062651055327728,0.24448221852174337,-0.2844763831815892,21,4,18586,20.7,257,14864
86,90,85,82,1,0,10,10,10,70,80,70,10,10,10,70,85,60,5,5,5,70,82,59,2,1,1,66,81,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,5,59,81,56,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16,0,1,2,10,1,0,0,0,0,0,0,0,0,1,70065,1948,0,1,0,1,4,1,1,1,0,0,85.75,67,-0.3064470923679544,0.5309399356294715,1.4019029037227524,75,4,63379,38.7,8307,50210
80,80,80,50,1,1,20,20,20,100,60,60,3,3,3,100,3,30,100,70,50,100,80,70,50,50,50,100,90,90,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,61,5,5,100,67,66,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,10,3,10,10,2,0,1,0,1,0,1,0,0,0,2,70070,1953,0,1,0,1,1,2,1,1,0,3,72.5,100,1.0001214004556145,0.9573839429264196,-0.00554061491562984,70,4,83031,37.6,2358,14207
