p1,p2,p3,p4,Recall1,Recall2,r1,r2,r3,r4,r5,r6,rl1,rl2,rl3,rl4,rl5,rl6,d1,d2,d3,d4,d5,d6,t1,t2,t3,t4,t5,t6,a11,a12,a13,a14,a15,a16,a17,a18,a19,a21,a22,a23,a24,a25,a26,a27,a28,a29,bp1,bp2,bp3,bp4,bp5,bp6,u1,u2,u3,u4,u5,u6,e11,e12,e13,e14,e10,e21,e22,e23,e24,e20,e31,e32,e33,e34,e30,e41,e42,e43,e44,e40,e51,e52,e53,e54,e50,e61,e62,e63,e64,e60,M1,M2,M3,M4,M5,SM0,SM1,SM2,SM3,SM4,SM5,SM6,attend,sth,Gender,zip,yob,Income,married,kids,residence,retake,Sex,single_married,homeowner,children,Social_Channels,Passion,OcshnerBE,FAC1_1,FAC2_1,FAC3_1,age,HHIncome,neighborhood_income,neighborhood_age,neighborhood_edu,neighborhood_pop
100,80,86,90,1,1,90,80,40,85,85,50,30,15,10,90,60,0,86,35,0,70,76,0,80,75,15,75,75,30,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,85,87,6,81,83,6,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,13,1,6,8,8,0,1,0,1,0,0,0,1,1,1,70115,1985,2,1,0,1,1,1,1,1,0,2,89,80.2,0.4535365914451616,-1.6363000133326646,1.914564949986784,38,2,91672,39.6,7682,33069
95,96,100,90,1,0,50,10,10,25,0,0,30,10,10,25,0,0,25,5,10,10,0,0,20,10,10,25,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,30,15,15,20,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,14,10,17,11,10,0,1,0,0,0,0,0,0,0,2,70802,1960,2,5,0,2,4,2,0,0,0,1,95.25,21,-1.126647532191157,-0.8907034387023667,-0.8198915481691799,63,2,33025,32,2018,24701
60,43,53,56,0,0,58,58,54,54,55,52,47,48,48,49,48,53,57,47,49,41,45,49,51,46,49,47,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,46,48,45,52,47,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,8,8,8,7,8,0,1,0,0,0,0,0,0,0,2,76905,1994,2,1,2,1,1,2,1,1,2,1,53,47.2,-0.7527019919216936,0.609956078431803,0.28604723681141253,29,2,77614,31.8,1322,13424
100,100,100,100,1,1,100,15,9,70,95,89,100,39,45,59,82,22,100,49,19,92,85,33,100,69,6,89,100,42,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,100,29,6,97,100,92,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,17,17,17,17,17,0,1,1,1,0,1,1,7,1,1,70068,1972,2,3,0,1,2,1,0,1,0,5,100,81.4,0.24462904325282625,0.10112436554388604,1.7314076801564044,51,2,70274,37.4,2312,33371
85,80,100,75,1,1,21,20,20,90,80,90,3,2,2,80,75,90,5,5,5,71,50,76,3,3,2,90,85,90,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,44,30,30,91,83,90,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,17,4,15,17,15,0,1,0,1,0,0,0,0,0,2,70454,1942,2,3,0,1,1,2,0,1,0,2,85,84.4,0.23020838616788855,1.8466701533849,0.39607701266250794,81,2,65355,39,3158,32111
100,85,80,100,1,0,73,53,50,54,79,56,8,5,8,8,5,6,77,36,14,33,65,17,75,57,30,31,44,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,47,14,11,9,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,9,17,17,15,17,0,1,1,1,0,0,1,0,0,1,80004,1998,2,1,1,3,4,1,1,0,1,4,91.25,27.4,-1.1267321638022525,-0.20778754343336853,0.2484995100146785,25,2,93260,42.9,7287,35349
100,100,100,89,1,1,55,57,83,51,49,48,54,50,53,82,66,52,80,65,67,81,49,45,76,62,58,50,50,50,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,61,38,44,64,33,44,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,17,17,16,17,0,1,0,0,0,1,0,0,0,1,33147,1969,2,5,2,2,1,1,0,0,2,2,97.25,65.6,-0.15109691170457465,0.3508777683048774,0.27162917515800344,54,2,45092,38.2,3613,47065
81,59,71,31,1,1,54,54,53,81,53,58,34,34,32,61,31,35,51,48,51,81,68,21,43,41,41,93,53,37,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,33,43,44,76,43,41,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,14,5,10,5,5,0,1,0,0,0,0,0,0,0,1,70128,1979,2,1,0,1,1,1,1,1,0,1,60.5,78.4,0.45759131408304815,-0.0987347968602694,0.23770561896382797,44,2,47937,38,2682,22538
100,70,100,92,1,1,80,80,67,98,65,54,13,10,10,48,4,4,54,44,27,59,16,10,81,62,40,60,9,6,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,68,45,24,96,56,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,17,1,17,17,6,0,1,0,0,1,0,0,0,0,2,39145,1984,2,5,2,2,1,2,0,0,2,2,90.5,72.2,0.44800214629329066,-0.3766733286895492,-0.4153093488395603,39,2,59811,44.1,594,5506
100,100,100,100,0,0,55,59,100,53,51,46,22,40,22,48,45,32,100,98,100,21,14,27,37,35,43,30,47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,100,31,31,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,17,10,17,6,0,0,1,1,1,0,1,3,0,2,39213,1997,2,5,0,1,1,2,0,1,0,4,100,36.6,-0.9686688625136172,0.2797190993004479,0.00129327108430328,26,2,27709,38.1,1114,19897
100,100,100,100,1,1,81,75,79,50,50,50,72,72,68,53,42,39,71,70,70,32,27,29,72,72,71,50,52,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72,70,70,37,36,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,14,12,15,13,11,0,1,1,1,0,1,1,0,0,1,72015,1990,2,1,3,2,1,1,1,0,3,5,100,44.4,-0.7346461830875041,0.27803102490374,0.09582325288328732,33,2,63825,37.9,2677,27298
100,100,100,100,1,1,100,100,20,50,50,50,50,50,10,70,10,0,60,80,0,80,60,30,70,70,0,70,35,55,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,75,60,0,70,50,10,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,9,0,17,17,17,0,0,1,1,0,1,0,0,0,1,70817,1977,2,5,0,1,1,1,0,1,0,3,100,68,0.16129661659639088,-0.36869066232160885,0.12956213027111263,46,2,99753,40,7818,33478
78,49,80,35,1,1,74,54,60,21,23,11,17,17,20,8,55,5,16,23,24,75,11,13,19,13,19,42,18,19,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,13,44,13,47,10,12,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,17,1,2,10,1,0,1,0,0,0,0,0,0,0,1,39501,1954,2,3,0,1,1,1,0,1,0,1,60.5,38.6,-0.6566648339898318,-0.7356621762915948,-0.200434751911758,69,2,30970,34,1277,24091
100,100,100,100,1,1,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,17,17,17,17,17,0,1,1,1,1,1,1,2,0,1,70812,1952,2,4,0,1,1,1,0,1,0,6,100,100,0.531659233158401,1.939259022498482,1.2580036841169735,71,2,38832,35.5,866,11011
95,81,61,85,1,1,17,32,26,93,84,7,0,0,0,75,75,0,0,0,0,100,100,0,36,100,18,95,95,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,90,90,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,3,17,0,17,9,1,0,0,0,0,0,0,0,0,2,30907,1966,2,2,0,2,1,2,0,0,0,0,80.5,90.6,0.8286743520793008,-2.605545663150143,2.7005380019334626,57,2,77831,39.8,7617,47624
62,61,50,15,1,1,1,2,1,1,2,2,6,7,6,7,5,5,5,4,4,4,5,3,5,6,6,6,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,5,5,6,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,1,9,9,12,0,1,0,0,0,0,0,0,0,1,71483,1946,2,2,0,1,1,1,0,1,0,1,47,4.6,-1.7439520996810354,-0.7146443779331049,-0.5772292332421213,77,2,45000,40.2,575,9636
90,70,100,71,1,1,100,9,77,4,75,100,100,3,50,100,0,70,100,3,50,4,0,50,100,0,79,0,100,100,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,100,0,72,0,74,72,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,16,1,1,17,11,1,0,0,0,0,0,0,0,0,2,70471,1984,2,1,2,1,1,2,1,1,2,0,82.75,21.6,-1.8733780716186508,2.146540129920592,-0.08204019986711175,39,2,96250,43.8,5528,23425
100,99,91,99,1,1,9,10,9,81,98,81,6,5,5,9,99,7,7,7,7,8,100,5,6,5,6,82,100,80,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,99,7,7,6,99,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,17,11,11,10,11,0,1,0,0,0,0,0,0,0,1,70127,1958,2,1,0,1,1,1,1,1,0,1,97.25,37.2,-1.1088553424114762,-0.890986673795005,2.75946728458736,65,2,37401,35.2,2359,26153
100,80,81,81,1,0,90,91,89,100,100,100,82,81,82,100,100,100,98,90,90,100,100,100,100,100,100,100,100,100,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,33,32,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,17,17,17,17,17,0,0,0,1,0,0,0,1,0,1,71360,1991,2,1,2,1,1,1,1,1,2,1,85.5,100,0.7265236807159717,1.448257968199237,0.914329081675746,32,2,60090,37.9,3880,35832
88,85,66,51,1,1,7,6,8,11,10,9,13,11,12,10,10,7,17,3,4,11,2,2,11,8,11,9,9,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,9,9,4,9,5,1,0,0,0,0,0,0,8,1,2,70001,1959,2,3,0,1,1,2,0,1,0,0,72.5,8.6,-1.611702966679135,-0.6514063620036601,-0.5751783523076338,64,2,68702,40.2,6712,40071
100,100,70,70,1,0,28,51,56,43,49,51,68,17,10,55,47,49,100,100,100,100,100,100,91,32,54,89,81,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,70,85,100,62,90,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,17,5,17,17,12,0,1,0,1,0,1,0,0,1,1,50830,1970,2,5,0,1,1,1,0,1,0,3,85,77.4,0.08894298246156651,1.343683882838271,0.358792960480831,53,2,69028,37.9,232,1969
100,100,100,100,1,1,100,75,75,100,75,75,20,20,20,100,10,10,100,75,50,100,20,39,100,100,100,100,75,75,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,100,36,36,100,7,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,17,0,17,17,17,1,0,0,0,0,0,0,1,0,1,71105,1976,2,1,0,1,1,1,1,1,0,0,100,100,1.3143514453834038,0.24570186883820627,-0.6605869597805956,47,2,62865,37.9,3444,19705
100,100,100,100,1,0,98,99,98,99,98,99,2,1,2,2,2,2,4,2,99,100,2,1,97,98,99,100,98,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,51,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,17,17,17,17,0,1,0,0,0,0,0,0,0,2,77019,1966,3,5,0,2,1,2,0,0,0,1,100,60.6,0.1552953744942843,0.5491371208103988,-0.5913470962813874,57,3,118172,35.6,6937,22839
81,50,61,30,0,1,0,0,0,94,0,0,0,0,0,100,0,0,0,0,0,99,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,45,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15,12,11,9,4,0,1,0,1,0,0,0,0,0,2,70461,1982,3,1,1,2,1,2,1,0,1,2,55.5,98.2,1.425510444256891,-1.0783219197724,-1.0045322916830284,41,3,84973,39,4246,32229
31,22,16,19,0,0,91,71,63,1,1,42,81,42,58,1,2,2,86,88,80,1,2,2,27,36,27,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,91,93,1,1,2,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2,92691,1969,3,1,0,1,1,2,1,1,0,0,22,1.2,-1.8402282225638549,-0.33563485110557467,-0.8471538722972967,54,3,134070,44,10769,48073
100,80,71,100,1,1,0,0,1,100,47,59,0,0,0,100,37,36,0,0,0,100,51,48,0,0,0,90,49,54,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,100,50,50,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,17,17,17,17,17,0,0,0,1,0,0,0,8,0,1,70003,1967,3,1,0,1,1,1,1,1,0,1,87.75,98,1.0364224470114796,0.3764891708209678,-0.1765664437981741,56,3,76626,45.7,6480,40529
91,80,99,91,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,0,17,2,2,0,0,1,1,0,0,0,0,0,1,18504,1973,3,1,0,2,1,1,1,0,0,2,90.25,0.8,-1.832623998237543,-0.7502315521626826,-0.6839624166657381,50,3,55614,41.3,1920,20516
72,40,28,15,0,0,14,25,6,49,5,6,2,18,3,49,9,3,32,47,62,68,51,30,25,6,57,29,24,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,64,36,71,43,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,1,1,8,1,1,0,0,0,0,0,0,0,0,2,77396,1957,3,1,1,1,2,2,1,1,1,0,38.75,53.2,-0.32188685889352664,-0.05901241853991162,-0.4252586914170925,66,3,76919,33.3,4947,60253
100,60,60,65,0,1,45,30,30,40,40,40,25,25,25,25,25,25,45,39,25,40,20,20,35,30,30,20,20,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,35,45,20,40,20,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,17,0,8,17,10,0,0,1,0,0,1,0,0,0,1,77069,1986,3,5,0,2,1,1,0,0,0,2,71.25,33,-0.9438412189786176,-0.11298138410385264,-0.31545304487589526,37,3,72744,34.4,4316,20633
75,50,50,25,1,1,6,6,6,11,5,5,3,6,6,7,4,2,12,9,6,17,7,6,6,3,3,16,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53,14,7,44,11,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,16,16,17,9,9,0,0,1,0,0,1,0,2,0,1,32503,1981,3,1,3,1,1,1,1,1,3,2,50,19,-1.2384711332812195,-0.705815726377668,-0.6237337604244074,42,3,64857,33.8,4824,33875
91,81,72,52,1,1,61,62,61,88,87,87,42,41,41,80,80,80,51,50,50,72,75,73,71,71,73,79,80,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,74,72,70,82,78,66,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,16,1,16,16,16,0,1,0,1,0,1,0,4,1,1,39367,1957,3,1,0,1,1,1,1,1,0,3,74,80.2,0.09949280276947509,1.246577730989884,0.9128009639698093,66,3,34371,38,1111,14332
100,100,100,100,0,0,100,100,50,100,50,50,100,50,50,100,50,50,100,50,50,100,50,50,100,50,50,100,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,50,70,40,40,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,17,17,1,17,1,0,0,1,1,0,0,0,5,1,2,39066,1966,3,2,3,1,2,2,0,1,3,2,100,94,0.8805446379633685,0.2720815430444313,-0.01560076651175417,57,3,43553,41.6,465,4949
78,70,78,80,1,1,36,39,38,52,56,51,34,33,31,55,55,59,81,80,27,78,36,36,64,65,37,87,60,59,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,76,56,30,66,46,29,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,9,11,16,8,12,0,0,1,1,0,1,0,0,0,1,17745,1993,3,5,0,2,1,1,0,0,0,3,76.5,67.6,0.00813346807644823,0.31473811407933694,0.22863751671493152,30,3,54659,37.8,1800,17494
100,100,100,85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,30,28,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,8,10,12,2,0,1,1,0,0,0,0,5,1,1,39047,1979,3,1,2,1,1,1,1,1,2,2,96.25,6,-1.630327591184461,-0.7946878124545538,-0.7678703093909957,44,3,94433,38.2,7437,40490
100,100,100,100,1,1,62,64,35,55,55,55,35,33,37,34,38,33,100,100,18,25,18,19,19,22,24,100,100,100,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,100,28,31,100,35,33,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,17,13,12,17,0,0,0,0,0,1,0,0,0,1,18049,1994,3,5,0,2,1,1,0,0,0,1,100,62.8,-0.02456887223651202,0.5601315555677079,-0.0671264179221357,29,3,91232,42.9,3950,18727
100,100,100,100,1,1,54,48,49,98,44,41,57,39,49,99,48,46,21,18,18,96,41,29,68,32,38,99,26,31,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,98,54,44,98,40,37,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,17,1,17,17,17,0,1,1,0,0,0,0,1,0,1,29486,1958,3,1,0,1,4,1,1,1,0,2,100,98,1.1156227863482115,-0.20285302495336727,-0.1549725375067516,65,3,83975,36,5115,43513
13,17,8,81,1,0,26,29,28,68,60,8,21,19,17,82,54,51,18,21,20,73,43,13,74,75,71,96,88,89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,7,4,91,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15,1,1,14,1,1,0,0,0,0,0,0,0,0,1,70461,1953,3,1,0,1,1,1,1,1,0,0,29.75,82,0.5991689597989961,-0.4132984471513396,0.344652401680305,70,3,84973,39,4246,32229
100,93,100,100,1,0,56,51,60,96,87,97,39,27,38,96,71,89,86,50,83,97,89,85,48,48,48,94,83,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,32,100,100,29,31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,17,0,0,17,17,1,0,0,0,0,0,0,0,0,2,70461,1947,3,3,0,1,1,2,0,1,0,0,98.25,96.6,0.7370657462965113,1.3339296521962236,0.40509942113260394,76,3,84973,39,4246,32229
100,85,100,90,1,1,100,100,50,100,70,19,54,58,30,100,56,3,98,98,55,74,100,12,100,100,53,100,97,10,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,100,78,25,100,52,5,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,17,17,17,17,17,0,1,1,1,0,1,0,9,1,1,70301,1986,3,1,2,1,1,1,1,1,2,4,93.75,94.8,0.99556575319639,-2.026756145724195,1.910719470044868,37,3,61296,36.5,5897,47429
100,92,90,89,1,0,9,4,13,35,98,3,53,60,64,40,79,20,58,66,51,90,99,52,78,75,76,100,80,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,95,86,84,56,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17,13,14,15,13,0,0,0,0,0,1,0,4,1,1,70714,1971,3,5,0,1,2,1,0,1,0,1,92.75,69.8,-0.1179993695915103,0.1779431990153889,1.402736898167757,52,3,61103,35.7,1617,17817
94,90,90,85,1,0,95,90,80,50,50,50,95,90,80,20,20,20,95,91,80,10,10,10,95,95,90,50,50,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,90,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,16,17,14,13,17,1,0,0,0,0,0,0,0,0,1,92585,1978,3,1,2,2,1,1,1,0,2,0,89.75,26,-1.1163558890741845,-0.00196022828036041,-0.3363335142749656,45,3,100470,35,1866,27083
100,100,100,100,1,1,80,80,70,100,10,12,29,22,14,100,5,3,100,27,20,100,12,11,100,60,50,100,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,59,61,100,25,26,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,17,17,17,17,17,0,1,1,1,1,1,1,0,0,2,70810,1993,3,1,0,2,2,2,1,0,0,6,100,100,1.4706766797760296,-0.8686829502862506,-0.997483100184829,30,3,91057,36.3,8917,42219
91,71,81,95,1,0,2,2,1,1,0,2,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,17,17,8,9,1,0,0,0,0,0,0,0,0,1,28445,1956,3,1,0,2,2,1,1,0,0,0,84.5,0.6,-1.836828543952642,-0.7326906398039474,-0.7114098185939015,67,3,79720,35.6,1655,9675
100,90,100,100,1,0,20,20,20,20,80,80,3,3,3,3,20,20,0,0,0,1,1,1,0,0,0,3,20,20,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,8,17,17,17,17,0,1,0,0,0,0,0,9,1,1,70065,1952,3,1,0,1,1,1,1,1,0,1,97.5,5.4,-1.8780295042790465,0.15797053076836565,-0.13763197615345918,71,3,63379,38.7,8307,50210
100,100,100,100,1,1,51,51,51,91,51,75,53,51,52,100,38,70,71,69,69,89,50,74,58,58,59,90,71,83,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,64,50,63,100,45,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14,17,17,17,17,0,0,0,0,0,1,0,0,0,1,70123,1956,3,2,0,3,1,1,0,0,0,1,100,94,0.739599124464242,1.590673408024817,-0.4854399913644256,67,3,78415,42.3,5440,27633
100,59,81,78,1,0,5,4,6,84,90,87,4,3,5,77,87,100,13,17,12,100,96,99,2,2,5,93,87,91,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,10,33,30,32,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,17,17,9,10,13,0,1,0,0,0,0,0,0,0,2,70124,1961,3,3,0,1,4,2,0,1,0,1,79.5,77.4,-0.00306270075399969,1.4967812089315369,0.7710674228954505,62,3,113525,38.7,5294,20212
88,100,74,79,1,1,75,25,20,75,87,29,83,21,16,19,37,14,100,23,21,94,67,24,91,33,30,83,27,26,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,81,28,30,85,26,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,9,3,1,15,8,0,1,0,1,0,0,0,7,1,2,70126,1982,3,5,0,4,1,2,0,1,0,2,85.25,71.2,0.35209347112800843,-0.6605147902065596,0.38880449475201073,41,3,34621,33.7,2483,30154
